BHK,Price,registration_charges,localities,super_built_up_area,carpet_area,price_per_sqft,bathroom,balconies,status,additional_room,transaction_type,floorNum,funrished_status,address,facing,projectName,Area_sqft,Property_Type,regions,price_in_inr
3.0,₹52 Lac,"₹2,91,199",Electronic City Phase 2,1377.0,1200,3776.0,2.0,0.0,Ready to move,None,Resale,4,Unfurnished,Kammasandra Main Road Shree Ananth Nagar Layout Landmark Vishal Mega Mart,North,UNKNOWN,1377.0,Multistorey Apartment,Bangalore,5200000.0
3.0,₹1.64 Cr,Not specified,Sarjapur Road,1608.0,1320,10199.0,3.0,0.0,Under construction,None,New Property,Not specified,Unfurnished,Sarjapur Road,Not Specified,DSR The Address,1608.0,Multistorey Apartment,Bangalore,16399999.999999998
2.0,₹1.41 Cr,"₹7,95,152",Begur Hulimavu Road,1417.0,952,9950.0,2.0,2.0,Ready to move,None,New Property,4,Unfurnished,Begur - Koppa Rd,West,UNKNOWN,1417.0,Multistorey Apartment,Bangalore,14100000.0
3.0,₹67 Lac,"₹3,75,199",Electronics City Phase 1,1410.0,1157,4751.0,2.0,0.0,Ready to move,None,New Property,1,Unfurnished,Electronic City,East,Sri Sai Nandana Royal,1410.0,Multistorey Apartment,Bangalore,6700000.0
3.0,₹1.05 Cr,"₹5,87,999",Chandapura,1200.0,985,8750.0,3.0,2.0,Ready to move,Study Room,New Property,Not specified,Unfurnished,Jigani,East,UNKNOWN,1200.0,Villa,Bangalore,10500000.0
3.0,₹73 Lac,"₹4,08,743",Basapura,1256.0,797,5812.0,3.0,0.0,Ready to move,None,New Property,3,Unfurnished,Basapura Village Road,East,Mahaveer Trident,1256.0,Multistorey Apartment,Bangalore,7300000.0
3.0,₹1.27 Cr,"₹7,11,199",Sarjapur,1300.0,1067,9769.0,3.0,2.0,Ready to move,None,New Property,5,Unfurnished,Off Sarjapur Road,East,GRC Shreekrish,1300.0,Multistorey Apartment,Bangalore,12700000.0
3.0,₹91 Lac,"₹5,09,655",Jp Nagar,1400.0,1000,6500.0,3.0,2.0,Not specified,None,New Property,5,Unfurnished,JP Nagar 1st Phase,East,JP Nagar 1st Phase RWA,1400.0,Multistorey Apartment,Bangalore,9100000.0
2.0,₹1.32 Cr,"₹7,42,022",Kanakapura Road,1290.0,703,10232.0,2.0,2.0,Ready to move,Study Room,New Property,12,Not Specified,Sy No. 55,East,Mantri Serenity,1290.0,Multistorey Apartment,Bangalore,13200000.0
3.0,₹1.85 Cr,Not specified,Begur Road,1750.0,1437,10571.0,3.0,0.0,Under construction,None,New Property,Not specified,Unfurnished,Begur Road,Not Specified,Nandi Meraki,1750.0,Multistorey Apartment,Bangalore,18500000.0
3.0,₹1.28 Cr,Not specified,Sarjapur Road,1312.0,1077,9756.0,3.0,0.0,Under construction,None,New Property,Not specified,Unfurnished,Sarjapur Road,Not Specified,Inspira Infinity,1312.0,Multistorey Apartment,Bangalore,12800000.0
2.0,₹60.5 Lac,Not specified,Bommasandra,920.0,755,6576.0,2.0,0.0,Under construction,None,New Property,Not specified,Unfurnished,Bommasandra,Not Specified,Icon Micasa,920.0,Multistorey Apartment,Bangalore,6050000.0
